date,rt_median,rt_low95,rt_high95
2020-12-02,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-03,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-04,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-05,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-06,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-07,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-08,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-09,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-10,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-11,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-12,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-13,0.8032935260641445,0.5820376967031379,1.0679075066703287
2020-12-14,0.8032935260641445,0.5820376967031379,1.0679075066703287
