date,rt_median,rt_low95,rt_high95
2020-12-02,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-03,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-04,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-05,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-06,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-07,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-08,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-09,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-10,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-11,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-12,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-13,0.9428040762608232,0.7308625311051062,1.235020269538532
2020-12-14,0.9428040762608232,0.7308625311051062,1.235020269538532
