date,rt_median,rt_low95,rt_high95
2020-12-02,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-03,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-04,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-05,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-06,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-07,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-08,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-09,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-10,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-11,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-12,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-13,0.8597483878903251,0.666328587570263,1.1259918363398675
2020-12-14,0.8597483878903251,0.666328587570263,1.1259918363398675
